Date/Time,Word Count,en,ru
2023.11.15-14.41.13,270,270,0
2023.11.15-14.47.43,359,359,0
2023.11.15-14.53.01,359,359,1
2023.11.15-15.40.53,360,360,1
2023.11.15-15.41.42,360,360,2
2023.11.15-16.01.40,360,360,6
2023.11.15-16.06.14,360,360,16
2023.11.15-16.17.51,361,361,16
2023.11.15-16.19.26,361,361,17
2023.11.21-20.07.16,362,362,13
2023.11.21-20.13.42,362,362,17
2023.11.21-20.42.19,362,362,284
2023.11.21-20.58.02,376,376,284
2023.11.21-21.02.10,376,376,298
2023.11.21-21.05.59,395,395,298
2023.11.21-21.07.15,395,395,317
2023.11.21-21.11.16,402,402,317
2023.11.21-21.12.19,402,402,324
2023.11.22-00.17.34,400,400,324
2023.11.22-11.58.07,387,387,324
2023.11.22-12.20.34,398,398,324
2023.11.22-12.23.06,398,398,325
2023.11.22-12.43.04,398,398,332
2023.11.22-12.53.48,398,398,335
2023.11.22-15.06.53,398,398,337
2023.11.22-18.22.18,398,398,354
2023.11.22-18.58.49,398,398,337
2023.11.22-19.00.28,398,398,354
2023.11.22-19.07.46,409,409,354
2023.11.22-19.12.03,411,411,354
2023.11.22-19.16.24,412,412,360
2023.11.22-19.48.25,413,413,366
2023.11.22-19.55.55,413,413,369
2023.11.22-20.01.48,413,413,365
2023.11.22-20.04.12,413,413,369
